school_name,blockgroup_within_1_mile,number_of_blockgroups
Ellison/Parks Early Education School,"[250251010023 250259811002 250251003003 250251010012 250251009004
 250251404002 250251011011 250251010022 250251404005 250251011012
 250251011023 250251011024 250251010014 250251011013 250251003004
 250251010015 250251011021 250251010021 250251011022 250251002002
 250251010016 250251404004 250251009003 250251010013 250251010011
 250251003002 250251009005 250251404001 250251001005 250251002003
 250251404003]",31
English High School,"[250251202012 250251201052 250251204001 250251101035 250250813001
 250251202013 250251203013 250251201042 250251206002 250251202011
 250251204002 250251204004 250251201041 250259811003 250251206003
 250259810001 250251203011 250251101033 250251201043 250251205001
 250251204005 250259803001 250251203014 250251203012 250251101031
 250251201031 250251204003]",27
Everett_ Edward Elementary,"[250250906001 250250913002 250250911002 250250907004 250250918003
 250250904003 250250917003 250250903002 250250915002 250250904002
 250250904004 250250915003 250250912003 250250907002 250250916003
 250250911001 250250912001 250250903001 250250910011 250250906002
 250250903003 250250910013 250250611011 250250912002 250250910014
 250250918001 250250911004 250250914001 250250916002 250250909011
 250250611012 250250911005 250250907001 250250911003 250250917002
 250250916001 250250904001 250250907003 250250917001 250250921012
 250250918002 250250913001 250250910012 250250914002 250250915001
 250250920001]",46
Excel High School,"[250250607002 250250612003 250250601014 250250607001 250250610003
 250250605012 250250602001 250250605015 250250605011 250250603012
 250250608002 250250603013 250250604002 250250611011 250250605014
 250250601011 250250608001 250250604005 250250608003 250259812011
 250250909011 250250611012 250250610002 250250601013 250250612001
 250250603011 250250907001 250250612002 250250601012 250250604003
 250250605013 250250602002 250250604004 250250608004 250250604001
 250250610001]",36
Fenway High School,"[250250812002 250250808012 250250103002 250250102033 250250817003
 250250804012 250251205003 250250817001 250250810014 250251205002
 250250810011 250250102032 250250817005 250250104052 250250806012
 250250805001 250251206002 250250814002 250259818001 250250817004
 250250809003 250250104042 250250103001 250250811003 250250806013
 250250809001 250251207002 250250104081 250250815002 250250104043
 250250806011 250250815001 250250811002 250250809002 250251207001
 250250810012 250250814001 250251203011 250250813003 250250811001
 250251205001 250250813002 250251206001 250250814003 250250104051
 250250808011 250250812001 250250810013]",48
Frederick_ Lilla G. Middle,"[250250920003 250250821003 250250821002 250250906001 250250901004
 250250913002 250250919001 250250922001 250250923001 250250918003
 250250820001 250250901005 250250819004 250250904003 250250919004
 250250819002 250250917003 250250817002 250250903002 250250915002
 250250904002 250250904004 250250915003 250250912003 250250821001
 250250916003 250250912001 250250903001 250250910011 250250920002
 250250903003 250250820002 250250919002 250250912002 250250918001
 250250911004 250250819001 250250914001 250250916002 250250901003
 250250923004 250250902002 250250820003 250250901002 250250818003
 250250917002 250250916001 250250904001 250250924003 250250902003
 250250917001 250250902001 250250919003 250250818002 250250921012
 250250920004 250250918002 250250913001 250250910012 250250819003
 250250914002 250250915001 250250920001 250250901001]",64
Gardner Pilot Academy,"[250250007043 250250008023 250250007041 250250007042 250250002024
 250250006022 250250008022 250250006011 250250008024 250250007012
 250250006013 250250001001 250250007044 250250007032 250250008025
 250250001004 250250001003 250250001002 250250006014 250250008021
 250250008031 250250007011 250250007031 250250006021 250250007015]",25
Greater Egleston High School,"[250251202012 250250812002 250250821003 250250821002 250250820001
 250250817003 250251204001 250250819004 250250819002 250251205003
 250250813001 250250817002 250251205002 250251202013 250250821001
 250251203013 250250820002 250251206002 250251202011 250251204002
 250250817004 250250819001 250251204004 250251207002 250250820003
 250250815002 250251206003 250250818003 250250815001 250251207001
 250250814001 250251203011 250250813003 250251205001 250250813002
 250251204005 250251206001 250250814003 250259803001 250251203014
 250251203012 250250812001 250250819003 250251201031 250251204003]",45
Greenwood_ Sarah K-8,"[250250920003 250251001003 250250821002 250250901004 250250919001
 250251001007 250250922001 250251001004 250250922002 250250923001
 250251005003 250251003001 250250918003 250251001006 250250901005
 250250923002 250250919004 250251005001 250250917003 250250903002
 250250821001 250250922003 250250920002 250250923003 250251003004
 250250919002 250250924002 250251005005 250250901003 250251002001
 250250923004 250251001001 250250902002 250250901002 250251001002
 250250917002 250250924004 250250922004 250251001005 250250924005
 250250924003 250250902003 250250917001 250259803001 250251005002
 250250902001 250251005004 250250924001 250250919003 250251002003
 250250920004 250250918002 250250920001 250250901001]",54
Grew_ Henry Elementary,"[250259807001 250251403005 250251402023 250251403004 250251304061
 250251401021 250251401022 250251402022 250251401024 250251402025
 250251402021 250251403003 250251401072 250251403002 250251401071
 250251403001 250251403006 250251401051 250251401052 250251402024]",20
