GEOID10,senior_population,schools_within_a_mile
250251005003,202,"['Boston Arts Academy', 'Boston International Newcomers Academy', 'Community Academy of Science & Health', 'Greenwood_ Sarah K-8', 'Holmes_ Oliver Wendell Innovation', 'Kenny_ Thomas J. Elementary', 'Lee Academy Pilot School', 'Lee_ Joseph K-8', 'Quincy_ Josiah Elementary', 'Taylor_ Charles H. Elementary', 'TechBoston Academy', 'UP Academy Dorchester']"
250250104032,82,"['Blackstone Elementary School', 'Boston Latin School', 'Carter School_ The', 'Hurley_ Joseph  K-8', 'Kennedy_ Edward M. Academy for Health Careers', 'McKinley_ Willam South End Academy', 'McKinley_ William Elementary', 'McKinley_ William Preparatory High School', 'Quincy_ Josiah Upper School', 'Snowden International School at Copley', 'McKinley_ William School']"
250250907004,43,"['Boston Collaborative High School', 'Clap Elementary School', 'Condon_ James F. K-8', 'Dearborn_ Henry STEM Academy', 'Dever_ Paul A.  Elementary', 'Dudley Street Neighborhood Charter School', 'Everett_ Edward Elementary', 'Mason_ Samuel Elementary', 'Orchard Gardens K-8', 'Perkins_ Michael J. Elementary', 'Russell_ William E.  Elementary', 'UP Academy Boston', 'Winthrop_ John Elementary']"
250250511011,270,"['Bradley_ Manassah E. Elementary', 'Guild_ Curtis Elementary']"
250251003001,237,"['Boston International Newcomers Academy', 'Greenwood_ Sarah K-8', 'Holmes_ Oliver Wendell Innovation', 'Lee Academy Pilot School', 'Lee_ Joseph K-8', 'Mildred Avenue K-8', 'Quincy_ Josiah Elementary', 'Shaw_ Pauline A. Elementary', 'Taylor_ Charles H. Elementary', 'TechBoston Academy', 'Young Achievers Science & Math K-8']"
250250008023,8,"['Boston Green Academy', 'Brighton High School', 'Gardner Pilot Academy', 'Horace Mann School for the Deaf and Hard of Hearing', 'Jackson/Mann K-8']"
250250918003,152,"['Boston Arts Academy', 'Boston Latin Academy', 'Burke_ Jeremiah E. High School', 'Community Academy of Science & Health', 'Everett_ Edward Elementary', 'Frederick_ Lilla G. Middle', 'Greenwood_ Sarah K-8', 'Haynes Early Education Center', 'Holmes_ Oliver Wendell Innovation', 'King_ Martin Luther_ Jr. K-8', 'Mather Elementary', 'McKinley_ William Middle', 'UP Academy Dorchester', 'UP Academy Holland', 'Winthrop_ John Elementary']"
250250005044,71,"['Baldwin Early Learning Pilot Academy', 'Boston Green Academy', 'Brighton High School', 'Edison_ Thomas A. K-8', 'Horace Mann School for the Deaf and Hard of Hearing', 'Jackson/Mann K-8', 'Winship_ F. Lyman Elementary']"
250250610003,114,"['Boston Collaborative High School', 'Clap Elementary School', 'Condon_ James F. K-8', 'Dever_ Paul A.  Elementary', 'Excel High School', 'Mason_ Samuel Elementary', 'Perkins_ Michael J. Elementary', 'Russell_ William E.  Elementary', 'Tynan_ Joseph P. Elementary', 'UP Academy Boston']"
250251201052,314,"['Curley K-8', 'English High School', 'Manning_ Joseph P. Elementary', 'Mission Hill K-8', 'Muniz_ Margarita Academy']"
250251010012,54,"['Another Course to College', 'Chittick_ James J. Elementary', 'Ellison/Parks Early Education School', 'Haley_ Dennis K-8', 'Mattahunt Elementary School', 'Mildred Avenue K-8', 'New Mission High School', 'Young Achievers Science & Math K-8']"
250251304062,430,"['Beethoven_ Ludwig van Elementary', 'Ohrenberger_ William School']"
250251303005,114,"['Lyndon_ Patrick K-8', 'Mozart_ Wolfgang A. Elementary']"
250259816001,0,"['Bradley_ Manassah E. Elementary', 'Guild_ Curtis Elementary']"
250250805002,222,"['Blackstone Elementary School', 'Boston Day & Evening Academy', 'Carter School_ The', 'Dearborn_ Henry STEM Academy', 'Dudley Street Neighborhood Charter School', 'Hale_ Nathan Elementary', 'Hurley_ Joseph  K-8', 'Kennedy_ Edward M. Academy for Health Careers', 'Mason_ Samuel Elementary', 'McKinley_ Willam South End Academy', 'McKinley_ William Elementary', 'Orchard Gardens K-8', 'Timilty_ James P. Middle', 'Tobin_ Maurice K-8', 'McKinley_ William School']"
250250820001,224,"['Boston Day & Evening Academy', 'Boston Latin Academy', 'Burke_ Jeremiah E. High School', 'Dearborn_ Henry STEM Academy', 'Dudley Street Neighborhood Charter School', 'Ellis_ David A. Elementary', 'Frederick_ Lilla G. Middle', 'Greater Egleston High School', 'Hale_ Nathan Elementary', 'Haynes Early Education Center', 'Hernandez_ Rafael K-8', 'Higginson K0-2', 'Higginson-Lewis', 'King_ Martin Luther_ Jr. K-8', 'Trotter_ William Monroe K-8', 'UP Academy Holland', 'Winthrop_ John Elementary']"
250250102033,173,"['Boston Latin School', 'Carter School_ The', 'Fenway High School', 'Kennedy_ Edward M. Academy for Health Careers', 'Kennedy_ Edward M. Academy for Health Careers', 'McKinley_ William Preparatory High School', 'Timilty_ James P. Middle', 'Tobin_ Maurice K-8']"
250250510003,249,"['Bradley_ Manassah E. Elementary', 'East Boston High School', 'Guild_ Curtis Elementary', 'Kennedy_ Patrick Elementary']"
250250817003,27,"['Boston Day & Evening Academy', 'Boston Latin Academy', 'Dearborn_ Henry STEM Academy', 'Dudley Street Neighborhood Charter School', 'Ellis_ David A. Elementary', 'Fenway High School', 'Greater Egleston High School', 'Hale_ Nathan Elementary', 'Haynes Early Education Center', 'Hennigan_ James W. K-8', 'Hernandez_ Rafael K-8', 'Higginson K0-2', 'Higginson-Lewis', 'Kennedy_ John F. Elementary', 'King_ Martin Luther_ Jr. K-8', 'Mendell_ Ellis Elementary', 'Orchard Gardens K-8', 'Timilty_ James P. Middle', 'Tobin_ Maurice K-8', 'Trotter_ William Monroe K-8', 'West Zone Early Learning Center', 'Winthrop_ John Elementary']"
250251404006,502,"['Another Course to College', 'Chittick_ James J. Elementary', 'Conley_ George H. Elementary', 'Irving_ Washington  Middle', 'Mattahunt Elementary School', 'New Mission High School', 'Philbrick_ John D. Elementary']"
250251001006,138,"['Boston International Newcomers Academy', 'Greenwood_ Sarah K-8', 'Holmes_ Oliver Wendell Innovation', 'Lee Academy Pilot School', 'Lee_ Joseph K-8', 'Shaw_ Pauline A. Elementary', 'TechBoston Academy', 'UP Academy Dorchester', 'Young Achievers Science & Math K-8']"
250251105013,134,"['Bates_ Phineas Elementary', 'Lyndon_ Patrick K-8', 'Mozart_ Wolfgang A. Elementary', 'Sumner_ Charles Elementary']"
250250102043,12,"['Boston Latin School', 'Kennedy_ Edward M. Academy for Health Careers', 'Kennedy_ Edward M. Academy for Health Careers', 'McKinley_ William Preparatory High School', 'Tobin_ Maurice K-8']"
250251006014,229,"['Boston Arts Academy', 'Community Academy of Science & Health', 'Holmes_ Oliver Wendell Innovation', 'Kenny_ Thomas J. Elementary', 'Lee Academy Pilot School', 'Lee_ Joseph K-8', 'Murphy_ Richard J.  K-8', 'Quincy_ Josiah Elementary', 'TechBoston Academy', 'UP Academy Dorchester']"
250250506002,6,"['Adams_ Samuel Elementary', 'Alighieri_ Dante Montessori School', 'East Boston Early Education Center', 'East Boston High School', 'Kennedy_ Patrick Elementary', 'McKay_ Donald K-8', ""O'Donnell_ Hugh R. Elementary"", 'Otis_ James Elementary', 'Umana_ Mario Academy']"
250250605012,55,"['Boston Collaborative High School', 'Condon_ James F. K-8', 'Excel High School', 'Perkins_ Michael J. Elementary', 'Perry_ Oliver Hazard K-6', 'Tynan_ Joseph P. Elementary', 'UP Academy Boston']"
250250804012,243,"['Blackstone Elementary School', 'Boston Day & Evening Academy', 'Carter School_ The', 'Dearborn_ Henry STEM Academy', 'Dudley Street Neighborhood Charter School', 'Fenway High School', 'Hale_ Nathan Elementary', 'Higginson-Lewis', 'Hurley_ Joseph  K-8', 'Kennedy_ Edward M. Academy for Health Careers', 'Mason_ Samuel Elementary', 'McKinley_ Willam South End Academy', 'McKinley_ William Elementary', 'Orchard Gardens K-8', 'Timilty_ James P. Middle', 'Tobin_ Maurice K-8', 'McKinley_ William School']"
250251403005,245,"['Another Course to College', 'Chittick_ James J. Elementary', 'Grew_ Henry Elementary', 'New Mission High School']"
