state,county,tract,blockgroup,city,GEOID10,B01001_001E,B01001_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E
25,023,542200,1,Bridgewater Town,250235422001,2520,1317,66,92,49,152,22,11,6,69,13,87,72,89,118,165,134,14,67,13,12,16,0,50,0,1203,24,97,55,26,72,0,20,20,118,81,58,47,155,44,58,44,12,85,93,15,50,0,29
25,009,222100,2,Essex,250092221002,1393,657,36,56,30,8,0,0,10,31,38,39,28,8,61,19,73,28,66,9,22,34,10,20,31,736,52,7,32,50,12,0,15,8,56,47,40,26,70,59,55,0,41,20,18,37,32,25,34
25,027,707100,2,Gardner,250277071002,2016,1062,101,84,60,70,47,0,0,26,77,130,45,38,75,93,97,8,53,33,16,0,9,0,0,954,61,82,56,39,11,41,0,48,125,36,20,73,98,26,11,36,64,8,59,51,9,0,0
25,009,202102,5,Swampscott,250092021025,1309,574,98,0,38,59,0,0,0,77,0,0,98,21,90,16,20,15,14,16,0,0,0,12,0,735,159,55,50,0,0,0,0,0,93,34,68,20,105,43,33,15,17,0,0,13,14,16,0
25,025,130200,3,Boston,250251302003,1771,833,80,66,44,32,0,0,0,26,35,68,32,62,49,42,43,14,33,44,34,86,18,17,8,938,32,81,85,29,0,0,0,31,139,36,10,98,40,33,73,87,19,41,8,68,20,8,0
25,017,354900,2,Cambridge,250173549002,3603,1499,50,75,209,155,54,69,0,73,84,97,113,108,123,95,103,0,51,15,0,0,0,25,0,2104,176,143,106,217,139,0,0,31,55,84,180,240,125,24,194,38,47,56,82,0,55,94,18
25,021,416200,3,Milton,250214162003,815,329,45,0,22,24,0,0,0,11,3,15,21,21,50,0,30,17,51,0,0,0,19,0,0,486,23,70,17,0,0,0,0,67,0,0,21,21,73,85,33,0,47,0,0,0,14,0,15
25,013,813102,1,Westfield,250138131021,1324,609,34,0,11,12,11,11,11,22,48,26,39,14,52,26,127,25,9,19,26,67,0,9,10,715,16,0,38,24,0,0,22,19,13,26,29,15,51,47,124,28,19,30,54,26,40,52,42
25,013,802601,6,Springfield,250138026016,1055,471,17,0,39,0,0,0,0,16,88,26,56,83,45,0,0,22,0,0,0,41,23,0,15,584,32,27,27,57,0,0,19,15,13,14,143,36,27,21,36,13,0,0,48,28,12,0,16
25,017,357700,3,Belmont,250173577003,924,442,28,90,14,0,9,9,0,0,40,48,36,64,26,25,9,14,6,8,0,16,0,0,0,482,29,40,7,13,0,0,11,0,27,22,29,37,44,65,35,24,22,0,8,40,0,8,21
25,009,206500,2,Lynn,250092065002,1469,720,40,46,38,66,67,0,0,109,83,22,76,12,45,17,20,22,0,0,41,6,10,0,0,749,58,53,111,0,0,25,0,0,104,34,78,67,22,84,55,0,38,9,10,1,0,0,0
25,027,716100,3,South Lancaster,250277161003,1244,624,184,0,59,0,0,0,0,39,121,131,0,28,7,0,28,0,27,0,0,0,0,0,0,620,53,44,0,68,0,0,0,0,26,100,45,0,75,60,40,35,29,0,0,0,0,0,45
25,017,356702,2,Arlington,250173567022,885,386,0,59,34,15,0,0,0,31,0,0,18,24,22,62,29,0,24,0,13,42,13,0,0,499,10,34,58,7,46,0,0,0,17,0,30,15,49,22,55,27,43,16,57,13,0,0,0
25,021,419200,3,Braintree Town,250214192003,582,210,12,8,0,0,0,0,0,21,26,23,47,0,0,0,0,22,18,0,8,9,8,0,8,372,37,46,34,14,0,0,0,19,28,8,47,0,0,12,19,18,14,0,19,27,5,0,25
25,025,101102,4,Boston,250251011024,1589,707,57,96,56,45,0,0,24,24,48,51,29,110,49,32,19,0,48,0,10,9,0,0,0,882,81,130,83,83,30,33,0,11,50,59,84,102,0,36,54,22,8,0,0,16,0,0,0
25,013,812902,2,Westfield,250138129022,2028,1005,0,46,102,42,13,18,0,21,65,46,61,84,53,82,50,50,33,51,41,42,40,0,65,1023,64,53,12,40,9,9,0,8,53,61,39,69,69,81,82,26,44,43,37,65,45,46,68
25,009,223300,2,Ipswich,250092233002,2678,1367,20,102,139,57,41,0,59,85,54,40,0,102,111,104,153,48,46,0,87,56,0,31,32,1311,29,1,63,48,62,0,32,28,107,43,53,76,81,141,172,15,45,33,59,122,17,53,31
25,009,221400,2,Gloucester,250092214002,1975,968,59,98,79,68,0,0,0,15,50,102,88,55,24,36,101,0,86,51,16,7,18,0,15,1007,124,35,45,0,72,34,0,28,33,115,87,57,48,86,88,14,44,0,44,36,9,0,8
